Магазин,Адресс,Категория,Подкатегория,Наименование товара,Цена со скидкой,Цена без скидки,Ссылка на товар
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Айсберг,-,139.99,https://sbermarket.ru//magnit/salat-aysberg-42873a1?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат листовой в горшочке 80 г,-,79.99,https://sbermarket.ru//magnit/salat-listovoy-v-gorshochke-80-g-4244eff?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Экзакт 150 г,-,92.99,https://sbermarket.ru//magnit/salat-ekzakt-150-g-c796f5c?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Лук зеленый 100 г,-,79.99,https://sbermarket.ru//magnit/luk-zelenyy-100-g-cf911e7?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Укроп 100 г,-,79.99,https://sbermarket.ru//magnit/ukrop-100-g-4b7e49e?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Рукола-Радичио 75 г,-,129.99,https://sbermarket.ru//magnit/salat-rukola-radichio-75-g-1ebc4e5?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Белая Дача Тоскана 120 г,-,129.99,https://sbermarket.ru//magnit/salat-belaya-dacha-toskana-120-g-5cac961?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Укроп 50 г,-,54.99,https://sbermarket.ru//magnit/ukrop-50-g-63957c6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Лук зеленый 50 г,54.99,40.99,https://sbermarket.ru//magnit/luk-zelenyy-50-g-04a4d1b?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Шпинат мини 75 г,-,139.99,https://sbermarket.ru//magnit/shpinat-mini-75-g-06381a1?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Фриллис резаный 100 г,-,99.99,https://sbermarket.ru//magnit/salat-frillis-rezanyy-100-g-07e3fa6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Сельдерей стебель 400 г,-,104.99,https://sbermarket.ru//magnit/sel-derey-stebel-400-g-1a15860?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салатная смесь Белая Дача Botanicum в контейнере 75 г,-,159.99,https://sbermarket.ru//magnit/salatnaya-smes-belaya-dacha-botanicum-v-konteynere-75-g-5fdf0f6?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Белая Дача Аликанте 100 г,-,114.99,https://sbermarket.ru//magnit/salat-belaya-dacha-alikante-100-g-d5b3ba0?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Салат Маслянистый зеленый в горшочке 200 г,-,94.99,https://sbermarket.ru//magnit/salat-maslyanistyy-zelenyy-v-gorshochke-200-g-10cab95?sid=11432
Магнит,-,"Овощи, фрукты, орехи",Зелень и салаты,Петрушка 100 г,-,69.99,https://sbermarket.ru//magnit/petrushka-100-g-40e225a?sid=11432
